dataset,method,attack,tpr_mean,tpr_std
dtd,HAMP,fedmia_joint,0.010416666666666666,0.009021097956087902
dtd,HAMP,nasr_passive,0.010416666666666666,0.018042195912175808
dtd,HAMP,rmia,0.005208333333333333,0.009021097956087904
dtd,HAMP,quantile_mia,0.005208333333333333,0.009021097956087904
dtd,VEIL,fedmia_loss,0.005208333333333333,0.009021097956087904
dtd,VEIL,fedmia_cosine,0.03125,0.015625
dtd,VEIL,fedmia_joint,0.010416666666666666,0.009021097956087902
dtd,VEIL,nasr_passive,0.020833333333333332,0.018042195912175804
dtd,VEIL,rmia,0.036458333333333336,0.009021097956087902
dtd,VEIL,quantile_mia,0.010416666666666666,0.009021097956087902
dtd,DP-FPL,fedmia_loss,0.0,0.0
dtd,DP-FPL,fedmia_cosine,0.010416666666666666,0.009021097956087902
dtd,DP-FPL,fedmia_joint,0.020833333333333332,0.023867581744561668
dtd,DP-FPL,nasr_passive,0.0,0.0
dtd,DP-FPL,rmia,0.0,0.0
dtd,DP-FPL,quantile_mia,0.005208333333333333,0.009021097956087904
dtd,FedASK,fedmia_loss,0.0,0.0
dtd,FedASK,fedmia_cosine,0.036458333333333336,0.06314768569261532
dtd,FedASK,fedmia_joint,0.041666666666666664,0.05915529526875286
dtd,FedASK,nasr_passive,0.0,0.0
dtd,FedASK,rmia,0.010416666666666666,0.018042195912175808
dtd,FedASK,quantile_mia,0.015625,0.027063293868263706
